From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
01-08-2021 00:00,02-08-2021 00:00,18.48,0.88,9.89,19.15,59.77,45.89,Delhi,Delhi,"DTU, Delhi - CPCB"
02-08-2021 00:00,03-08-2021 00:00,17.44,0.98,12.87,21.79,56.22,44.42,Delhi,Delhi,"DTU, Delhi - CPCB"
03-08-2021 00:00,04-08-2021 00:00,13.18,0.54,13.88,23.08,53.49,33.9,Delhi,Delhi,"DTU, Delhi - CPCB"
04-08-2021 00:00,05-08-2021 00:00,19.4,0.5,12.16,23.56,69.66,35.7,Delhi,Delhi,"DTU, Delhi - CPCB"
05-08-2021 00:00,06-08-2021 00:00,21.78,0.54,12.05,24.25,86.49,48.55,Delhi,Delhi,"DTU, Delhi - CPCB"
06-08-2021 00:00,07-08-2021 00:00,20.77,0.64,8.86,38.81,91.74,42.44,Delhi,Delhi,"DTU, Delhi - CPCB"
07-08-2021 00:00,08-08-2021 00:00,15.96,0.81,8.28,24.04,98.51,57.15,Delhi,Delhi,"DTU, Delhi - CPCB"
08-08-2021 00:00,09-08-2021 00:00,13.84,0.89,7.55,28.19,64.09,49.75,Delhi,Delhi,"DTU, Delhi - CPCB"
09-08-2021 00:00,10-08-2021 00:00,14.77,1.19,7.7,30.15,88,58.02,Delhi,Delhi,"DTU, Delhi - CPCB"
10-08-2021 00:00,11-08-2021 00:00,14.54,0.58,7.71,29.09,149.79,46.72,Delhi,Delhi,"DTU, Delhi - CPCB"
11-08-2021 00:00,12-08-2021 00:00,15.95,0.48,8.15,44.66,164.97,53.16,Delhi,Delhi,"DTU, Delhi - CPCB"
12-08-2021 00:00,13-08-2021 00:00,39.92,0.41,8.24,26.57,151.31,40.67,Delhi,Delhi,"DTU, Delhi - CPCB"
13-08-2021 00:00,14-08-2021 00:00,66.02,0.47,7.46,22.04,167.99,41.29,Delhi,Delhi,"DTU, Delhi - CPCB"
14-08-2021 00:00,15-08-2021 00:00,68.92,0.43,7.37,23.75,190.31,42.79,Delhi,Delhi,"DTU, Delhi - CPCB"
15-08-2021 00:00,16-08-2021 00:00,68.21,0.43,8.16,20.61,123.48,37.18,Delhi,Delhi,"DTU, Delhi - CPCB"
16-08-2021 00:00,17-08-2021 00:00,57.5,0.48,7.28,20.99,134.95,40.98,Delhi,Delhi,"DTU, Delhi - CPCB"
17-08-2021 00:00,18-08-2021 00:00,53.16,0.63,7.48,18.93,159.26,55.64,Delhi,Delhi,"DTU, Delhi - CPCB"
18-08-2021 00:00,19-08-2021 00:00,57,0.75,7.54,21.59,167.05,66.42,Delhi,Delhi,"DTU, Delhi - CPCB"
19-08-2021 00:00,20-08-2021 00:00,64.39,1.02,7.75,30.64,181.2,84.47,Delhi,Delhi,"DTU, Delhi - CPCB"
20-08-2021 00:00,21-08-2021 00:00,56.36,0.68,9.13,24.28,66.46,45.09,Delhi,Delhi,"DTU, Delhi - CPCB"
21-08-2021 00:00,22-08-2021 00:00,45.26,0.57,7.63,24.01,24.6,28,Delhi,Delhi,"DTU, Delhi - CPCB"
22-08-2021 00:00,23-08-2021 00:00,39.06,0.94,7.44,46.07,46.83,38.59,Delhi,Delhi,"DTU, Delhi - CPCB"
23-08-2021 00:00,24-08-2021 00:00,41.03,0.78,6.6,30.66,71.74,41.84,Delhi,Delhi,"DTU, Delhi - CPCB"
24-08-2021 00:00,25-08-2021 00:00,39.93,1.07,7.41,29.03,93.19,51.28,Delhi,Delhi,"DTU, Delhi - CPCB"
25-08-2021 00:00,26-08-2021 00:00,44.65,0.65,7.61,32.64,141.03,45.47,Delhi,Delhi,"DTU, Delhi - CPCB"
26-08-2021 00:00,27-08-2021 00:00,47.87,0.52,6.86,27,158.52,45.32,Delhi,Delhi,"DTU, Delhi - CPCB"
27-08-2021 00:00,28-08-2021 00:00,41.37,0.47,6.88,29.94,158.08,46.5,Delhi,Delhi,"DTU, Delhi - CPCB"
